ORIGINAL	CONTEXT	TRANSLATED
Indeed, he had had no definite reason for coming to the coast.	Amory avoided the question. Indeed, he had had no definite reason for coming to the coast. “Do you remember that party of ours, sophomore year?”	He really didn't have a specific reason for coming to the coast.

All tragedy has that strain of the grotesque and squalid—so useless, futile.	All that remained of the charm and personality of the Dick Humbird he had known—oh, it was all so horrible and unaristocratic and close to the earth. All tragedy has that strain of the grotesque and squalid—so useless, futile. the way animals die.	Tragedy always has elements of the bizarre and wretched—so pointless, hopeless.

 Two mornings later he knocked at the president’s door at Bascome and Barlow’s advertising agency.	Two mornings later he knocked at the president’s door at Bascome and Barlow’s advertising agency. “Come in!”	Two mornings later, he knocked on the president's door at the Bascome and Barlow advertising agency.

The invitation to Miss Myra St. Claire’s bobbing party spent the morning in his coat pocket, where it had an intense physical affair with a dusty piece of peanut brittle.	His chief disadvantage lay in athletics, but as soon as he discovered that it was the touchstone of power and popularity at school, he began to make furious, persistent efforts to excel in the winter sports, and with his ankles aching and bending in spite of his efforts, he skated valiantly around the Lorelie rink every afternoon, wondering how soon he would be able to carry a hockey-stick without getting it inexplicably tangled in his skates. The invitation to Miss Myra St. Claire’s bobbing party spent the morning in his coat pocket, where it had an intense physical affair with a dusty piece of peanut brittle. During the afternoon he brought it to light with a sigh, and after some consideration and a preliminary draft in the back of Collar and Daniel’s First-Year Latin, composed an answer: My dear Miss St. Claire: Your truly charming envitation for the evening of next Thursday evening was truly delightful to receive this morning.	The invitation to Myra St. Claire's bobbing party sat in his coat pocket all morning, rubbing against a dusty piece of peanut brittle.

For better or worse we’ve stamped you; you’re a Princeton type!”	“You can’t, Tom,” argued Amory, as they rolled along through the scattering night; “wherever you go now you’ll always unconsciously apply these standards of ‘having it’ or ‘lacking it.’ For better or worse we’ve stamped you; you’re a Princeton type!” “Well, then,” complained Tom, his cracked voice rising plaintively, “why do I have to come back at all?	Whether it's good or bad, we've marked you; you're a Princeton kind of guy!

When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through.	When Amory had whooping cough, four annoyed specialists huddled around his bed, glaring at each other; when he got scarlet fever, a total of fourteen people, including doctors and nurses, were taking care of him.

Never to speak of this that you have seen, Swear by my sword.	Never to speak of this that you have seen, Swear by my sword.	Don't ever talk about what you've seen. Swear on my sword.

So, thanks to all at once and to each one, Whom we invite to see us crown'd at Scone.	What's more to do, Which would be planted newly with the time, As calling home our exiled friends abroad That fled the snares of watchful tyranny; Producing forth the cruel ministers Of this dead butcher and his fiend-like queen, Who, as 'tis thought, by self and violent hands Took off her life; this, and what needful else That calls upon us, by the grace of Grace, We will perform in measure, time and place: So, thanks to all at once and to each one, Whom we invite to see us crown'd at Scone.	So, thanks to everyone, and we invite you to see us crowned at Scone.
