ORIGINAL	TRANSLATED
Tis now the very witching time of night, When churchyards yawn and hell itself breathes out Contagion to this world: now could I drink hot blood, And do such bitter business as the day Would quake to look on. Soft! now to my mother. O heart, lose not thy nature; let not ever The soul of Nero enter this firm bosom: Let me be cruel, not unnatural: I will speak daggers to her, but use none; My tongue and soul in this be hypocrites; How in my words soever she be shent, To give them seals never, my soul, consent! (Exit.) King: I like him not, nor stands it safe with usTo let his madness range. Therefore prepare you;I your commission will forthwith dispatch,And he to England shall along with you:The terms of our estate may not endureHazard so dangerous as doth hourly growOut of his lunacies. Guildenstern: We will ourselves provide:Most holy and religious fear it isTo keep those many many bodies safeThat live and feed upon your majesty. Rosencrantz: The single and peculiar life is bound,With all the strength and armour of the mind,To keep itself from noyance; but much moreThat spirit upon whose weal depend and restThe lives of many. The cease of majestyDies not alone; but, like a gulf, doth drawWhat’s near it with it: it is a massy wheel,Fix’d on the summit of the highest mount,To whose huge spokes ten thousand lesser thingsAre mortised and adjoin’d; which, when it falls,Each small annexment, petty consequence,Attends the boisterous ruin. Never aloneDid the king sigh, but with a general groan. King: Arm you, I pray you, to this speedy voyage;For we will fetters put upon this fear,Which now goes too free-footed. Rosencrantz: We will haste us. Guildenstern: We will haste us. (Exeunt Rosencrantz and Guildenstern.) Polonius: My lord, he’s going to his mother’s closet:Behind the arras I’ll convey myself,To hear the process; and warrant she’ll tax him home:And, as you said, and wisely was it said,’Tis meet that some more audience than a mother,Since nature makes them partial, should o’erhearThe speech, of vantage. Fare you well, my liege:I’ll call upon you ere you go to bed,And tell you what I know. King: Thanks, dear my lord. (Exit Polonius.) O, my offence is rank, it smells to heaven;It hath the primal eldest curse upon’t,A brother’s murder. Pray can I not,Though inclination be as sharp as will:My stronger guilt defeats my strong intent;And, like a man to double business bound,I stand in pause where I shall first begin,And both neglect. What if this cursed handWere thicker than itself with brother’s blood,Is there not rain enough in the sweet heavensTo wash it white as snow? Whereto serves mercyBut to confront the visage of offence?And what’s in prayer but this two-fold force,To be forestalled ere we come to fall,Or pardon’d being down? Then I’ll look up;My fault is past. But, O, what form of prayerCan serve my turn? “Forgive me my foul murder”?That cannot be; since I am still possess’dOf those effects for which I did the murder,My crown, mine own ambition and my queen.May one be pardon’d and retain the offence?In the corrupted currents of this worldOffence’s gilded hand may shove by justice,And oft ’tis seen the wicked prize itselfBuys out the law: but ’tis not so above;There is no shuffling, there the action liesIn his true nature; and we ourselves compell’d,Even to the teeth and forehead of our faults,To give in evidence. What then? what rests?Try what repentance can: what can it not?Yet what can it when one can not repent?O wretched state! O bosom black as death!O limed soul, that, struggling to be free,Art more engaged! Help, angels! Make assay!Bow, stubborn knees; and, heart with strings of steel,Be soft as sinews of the newborn babe!All may be well. (Retires and kneels.) Hamlet: Now might I do it pat, now he is praying;And now I’ll do’t. And so he goes to heaven;And so am I revenged. That would be scann’d:A villain kills my father; and for that,I, his sole son, do this same villain sendTo heaven.O, this is hire and salary, not revenge.He took my father grossly, full of bread;With all his crimes broad blown, as flush as May;And how his audit stands who knows save heaven?But in our circumstance and course of thought,’Tis heavy with him: and am I then revenged,To take him in the purging of his soul,When he is fit and season’d for his passage?No!Up, sword; and know thou a more horrid hent:When he is drunk asleep, or in his rage,Or in the incestuous pleasure of his bed;At gaming, swearing, or about some actThat has no relish of salvation in’t;Then trip him, that his heels may kick at heaven,And that his soul may be as damn’d and blackAs hell, whereto it goes. My mother stays:This physic but prolongs thy sickly days. (Exit.) King: (Rising.) My words fly up, my thoughts remain below:Words without thoughts never to heaven go. (Exit.) Polonius: He will come straight. Look you lay home to him:Tell him his pranks have been too broad to bear with,And that your grace hath screen’d and stood betweenMuch heat and him. I’ll sconce me even here.Pray you, be round with him. Hamlet: (Within.) Mother, mother, mother! Queen: I’ll warrant you,Fear me not: withdraw, I hear him coming. (Polonius hides behind the arras.) Hamlet: Now, mother, what’s the matter? Queen: Hamlet, thou hast thy father much offended. Hamlet: Mother, you have my father much offended. Queen: Come, come, you answer with an idle tongue. Hamlet: Go, go, you question with a wicked tongue. Queen: Why, how now, Hamlet! Hamlet: What’s the matter now? Queen: Have you forgot me? Hamlet: No, by the rood, not so:You are the queen, your husband’s brother’s wife;And—would it were not so!—you are my mother. Queen: Nay, then, I’ll set those to you that can speak. Hamlet: Come, come, and sit you down; you shall not budge;You go not till I set you up a glassWhere you may see the inmost part of you. Queen: What wilt thou do? thou wilt not murder me?Help, help, ho! Polonius: (Behind.) What, ho! help, help, help! Hamlet: (Drawing.) How now! a rat? Dead, for a ducat, dead! (Makes a pass through the arras.) Polonius: (Behind.) O, I am slain! (Falls and dies.) Queen: O me, what hast thou done? Hamlet: Nay, I know not:Is it the king? Queen: O, what a rash and bloody deed is this! Hamlet: A bloody deed! almost as bad, good mother,As kill a king, and marry with his brother. Queen: As kill a king! Hamlet: Ay, lady, ’twas my word. (Lifts up the arras and discovers Polonius.) Thou wretched, rash, intruding fool, farewell!I took thee for thy better: take thy fortune;Thou find’st to be too busy is some danger.Leave wringing of your hands: peace! sit you down,And let me wring your heart; for so I shall,If it be made of penetrable stuff,If damned custom have not brass’d it soThat it be proof and bulwark against sense. Queen: What have I done, that thou darest wag thy tongueIn noise so rude against me? Hamlet: Such an actThat blurs the grace and blush of modesty,Calls virtue hypocrite, takes off the roseFrom the fair forehead of an innocent loveAnd sets a blister there, makes marriage-vowsAs false as dicers’ oaths: O, such a deedAs from the body of contraction plucksThe very soul, and sweet religion makesA rhapsody of words: heaven’s face doth glow;Yea, this solidity and compound mass,With tristful visage, as against the doom,Is thought-sick at the act. Queen: Ay me, what act,That roars so loud, and thunders in the index? Hamlet: Look here, upon this picture, and on this,The counterfeit presentment of two brothers.See, what a grace was seated on this brow;Hyperion’s curls; the front of Jove himself;An eye like Mars, to threaten and command;A station like the herald MercuryNew-lighted on a heaven-kissing hill;A combination and a form indeed,Where every god did seem to set his seal,To give the world assurance of a man:This was your husband. Look you now, what follows:Here is your husband; like a mildew’d ear,Blasting his wholesome brother. Have you eyes?Could you on this fair mountain leave to feed,And batten on this moor? Ha! have you eyes?You cannot call it love; for at your ageThe hey-day in the blood is tame, it’s humble,And waits upon the judgment: and what judgmentWould step from this to this? Sense, sure, you have,Else could you not have motion; but sure, that senseIs apoplex’d; for madness would not err,Nor sense to ecstasy was ne’er so thrall’dBut it reserved some quantity of choice,To serve in such a difference. What devil was’tThat thus hath cozen’d you at hoodman-blind?Eyes without feeling, feeling without sight,Ears without hands or eyes, smelling sans all,Or but a sickly part of one true senseCould not so mope.O shame! where is thy blush? Rebellious hell,If thou canst mutine in a matron’s bones,To flaming youth let virtue be as wax,And melt in her own fire: proclaim no shameWhen the compulsive ardour gives the charge,Since frost itself as actively doth burnAnd reason panders will. Queen: O Hamlet, speak no more:Thou turn’st mine eyes into my very soul;And there I see such black and grained spotsAs will not leave their tinct. Hamlet: Nay, but to liveIn the rank sweat of an enseamed bed,Stew’d in corruption, honeying and making loveOver the nasty sty— Queen: O, speak to me no more;These words, like daggers, enter in mine ears;No more, sweet Hamlet! Hamlet: A murderer and a villain;A slave that is not twentieth part the titheOf your precedent lord; a vice of kings;A cutpurse of the empire and the rule,That from a shelf the precious diadem stole,And put it in his pocket! Queen: No more! Hamlet: A king of shreds and patches— Hamlet: Save me, and hover o’er me with your wings,You heavenly guards! What would your gracious figure? Queen: Alas, he’s mad! Hamlet: Do you not come your tardy son to chide,That, lapsed in time and passion, lets go byThe important acting of your dread command?O, say! Ghost: Do not forget: this visitationIs but to whet thy almost blunted purpose.But, look, amazement on thy mother sits:O, step between her and her fighting soul:Conceit in weakest bodies strongest works:Speak to her, Hamlet. Hamlet: How is it with you, lady? Queen: Alas, how is’t with you,That you do bend your eye on vacancyAnd with the incorporal air do hold discourse?Forth at your eyes your spirits wildly peep;And, as the sleeping soldiers in the alarm,Your bedded hair, like life in excrements,Start up, and stand an end. O gentle son,Upon the heat and flame of thy distemperSprinkle cool patience. Whereon do you look? Hamlet: On him, on him! Look you, how pale he glares!His form and cause conjoin’d, preaching to stones,Would make them capable. Do not look upon me;Lest with this piteous action you convertMy stern effects: then what I have to doWill want true colour; tears perchance for blood. Queen: To whom do you speak this? Hamlet: Do you see nothing there? Queen: Nothing at all; yet all that is I see. Hamlet: Nor did you nothing hear? Queen: No, nothing but ourselves. Hamlet: Why, look you there! look, how it steals away!My father, in his habit as he lived!Look, where he goes, even now, out at the portal! (Exit Ghost.) Queen: This the very coinage of your brain:This bodiless creation ecstasyIs very cunning in. Hamlet: Ecstasy!My pulse, as yours, doth temperately keep time,And makes as healthful music: it is not madnessThat I have utter’d: bring me to the test,And I the matter will re-word; which madnessWould gambol from. Mother, for love of grace,Lay not that flattering unction to your soul,That not your trespass, but my madness speaks:It will but skin and film the ulcerous place,Whilst rank corruption, mining all within,Infects unseen. Confess yourself to heaven;Repent what’s past; avoid what is to come;And do not spread the compost on the weeds,To make them ranker. Forgive me this my virtue;For in the fatness of these pursy timesVirtue itself of vice must pardon beg,Yea, curb and woo for leave to do him good. Queen: O Hamlet, thou hast cleft my heart in twain. Hamlet: O, throw away the worser part of it,And live the purer with the other half.Good night: but go not to mine uncle’s bed;Assume a virtue, if you have it not.That monster, custom, who all sense doth eat,Of habits devil, is angel yet in this,That to the use of actions fair and goodHe likewise gives a frock or livery,That aptly is put on. Refrain to-night,And that shall lend a kind of easinessTo the next abstinence: the next more easy;For use almost can change the stamp of nature,And either master1 the devil, or throw him outWith wondrous potency. Once more, good night:And when you are desirous to be bless’d,I’ll blessing beg of you. For this same lord, (Pointing to Polonius.) I do repent: but heaven hath pleased it so,To punish me with this and this with me,That I must be their scourge and minister.I will bestow him, and will answer wellThe death I gave him. So, again, good night.I must be cruel, only to be kind:Thus bad begins and worse remains behind.One word more, good lady. Queen: What shall I do? Hamlet: Not this, by no means, that I bid you do:Let the bloat king tempt you again to bed;Pinch wanton on your cheek; call you his mouse;And let him, for a pair of reechy kisses,Or paddling in your neck with his damn’d fingers,Make you to ravel all this matter out,That I essentially am not in madness,But mad in craft. ’Twere good you let him know;For who, that’s but a queen, fair, sober, wise,Would from a paddock, from a bat, a gib,Such dear concernings hide? who would do so?No, in despite of sense and secrecy,Unpeg the basket on the house’s top,Let the birds fly, and, like the famous ape,To try conclusions, in the basket creep,And break your own neck down. Queen: Be thou assured, if words be made of breath,And breath of life, I have no life to breatheWhat thou hast said to me. Hamlet: I must to England; you know that? Queen: Alack,I had forgot: ’tis so concluded on. Hamlet: There’s letters seal’d: and my two schoolfellows,Whom I will trust as I will adders fang’d,They bear the mandate; they must sweep my way,And marshal me to knavery. Let it work;For ’tis the sport to have the enginerHoist with his own petar: and’t shall go hardBut I will delve one yard below their mines,And blow them at the moon: O, ’tis most sweet,When in one line two crafts directly meet.This man shall set me packing:I’ll lug the guts into the neighbour room.Mother, good night. Indeed this counsellorIs now most still, most secret and most grave,Who was in life a foolish prating knave.Come, sir, to draw toward an end with you.Good night, mother. (Exeunt severally; Hamlet dragging in Polonius.) King: There’s matter in these sighs, these profound heaves:You must translate: ’tis fit we understand them.Where is your son? Queen: Bestow this place on us a little while. (Exeunt Rosencrantz and Guildenstern.) Ah, mine good lord, what have I seen to-night! King: What, Gertrude? How does Hamlet? Queen: Mad as the sea and wind, when both contendWhich is the mightier: in his lawless fit,Behind the arras hearing something stir,Whips out his rapier, cries, “A rat, a rat!”And, in this brainish apprehension, killsThe unseen good old man. King: O heavy deed!It had been so with us, had we been there:His liberty is full of threats to all;To you yourself, to us, to every one.Alas, how shall this bloody deed be answer’d?It will be laid to us, whose providenceShould have kept short, restrain’d and out of haunt,This mad young man: but so much was our love,We would not understand what was most fit;But, like the owner of a foul disease,To keep it from divulging, let it feedEven on the pith of Life. Where is he gone? Queen: To draw apart the body he hath kill’d:O’er whom his very madness, like some oreAmong a mineral of metals base,Shows itself pure; he weeps for what is done. King: O Gertrude, come away!The sun no sooner shall the mountains touch,But we will ship him hence: and this vile deedWe must, with all our majesty and skill,Both countenance and excuse. Ho, Guildenstern! King: Friends both, go join you with some further aid:Hamlet in madness hath Polonius slain,And from his mother’s closet hath he dragg’d him:Go seek him out; speak fair, and bring the bodyInto the chapel. I pray you, haste in this. (Exeunt Rosencrantz and Guildenstern.) Come, Gertrude, we’ll call up our wisest friends;And let them know, both what we mean to do,And what’s untimely done. So haply slander—2Whose whisper o’er the world’s diameter,As level as the canon to his blank,Transports his poison’d shot, may miss our name,And hit the woundless air. O, come away!My soul is full of discord and dismay. (Exeunt.) Hamlet: Safely stowed. Rosencrantz: (Within.) Hamlet! Lord Hamlet! Guildenstern: (Within.) Hamlet! Lord Hamlet! Hamlet: But soft, what noise? who calls on Hamlet? O, here they come. Rosencrantz: What have you done, my lord, with the dead body? Hamlet: Compounded it with dust, whereto ’tis kin. Rosencrantz: Tell us where ’tis, that we may take it thenceAnd bear it to the chapel. Hamlet: Do not believe it. Rosencrantz: Believe what? Hamlet: That I can keep your counsel and not mine own. Besides, to be demanded of a sponge! what replication should be made by the son of a king? Rosencrantz: Take you me for a sponge, my lord? Hamlet: Ay, sir, that soaks up the king’s countenance, his rewards, his authorities. But such officers do the king best service in the end: he keeps them, like an ape, in the corner of his jaw; first mouthed, to be last swallowed: when he needs what you have gleaned, it is but squeezing you, and, sponge, you shall be dry again. Rosencrantz: I understand you not, my lord. Hamlet: I am glad of it: a knavish speech sleeps in a foolish ear. Rosencrantz: My lord, you must tell us where the body is, and go with us to the king. Hamlet: The body is with the king, but the king is not with the body. The king is a thing— Guildenstern: A thing, my lord! Hamlet: Of nothing: bring me to him. Hide fox, and all after. (Exeunt.)ACT I, SCENE III King: I have sent to seek him, and to find the body. How dangerous is it that this man goes loose! Yet must not we put the strong law on him: He’s loved of the distracted multitude, Who like not in their judgment, but their eyes: And where ’tis so, the offender’s scourge is weigh’d, But never the offence. To bear all smooth and even, This sudden sending him away must seem Deliberate pause: diseases desperate grown By desperate appliance are relieved, Or not at all. King: How now! what hath befall’n? Rosencrantz: Where the dead body is bestow’d, my lord, We cannot get from him. King: But where is he? Rosencrantz: Without, my lord; guarded, to know your pleasure. King: Bring him before us. Rosencrantz: Ho, Guildenstern! bring in my lord. King: Now, Hamlet, where’s Polonius? Hamlet: At supper. King: At supper! where? Hamlet: Not where he eats, but where he is eaten: a certain convocation of politic worms are e’en at him. Your worm is your only emperor for diet: we fat all creatures else to fat us, and we fat ourselves for maggots: your fat king and your lean beggar is but variable service, two dishes, but to one table: that’s the end. King: Alas, alas! Hamlet: A man may fish with the worm that hath eat of a king, and eat of the fish that hath fed of that worm. King: What dost you mean by this? Hamlet: Nothing but to show you how a king may go a progress through the guts of a beggar. King: Where is Polonius? Hamlet: In heaven; send hither to see: if your messenger find him not there, seek him i’ the other place yourself. But indeed, if you find him not within this month, you shall nose him as you go up the stairs into the lobby. King: Go seek him there. (To some Attendants.) Hamlet: He will stay till ye come. (Exeunt Attendants.) King: Hamlet, this deed, for thine especial safety— Which we do tender, as we dearly grieve For that which thou hast done—must send thee hence With fiery quickness: therefore prepare thyself; The bark is ready, and the wind at help, The associates tend, and every thing is bent For England. Hamlet: For England! King: Ay, Hamlet. Hamlet: Good. King: So is it, if thou knew’st our purposes. Hamlet: I see a cherub that sees them. But, come; for England! Farewell, dear mother. King: Thy loving father, Hamlet. Hamlet: My mother: father and mother is man and wife; man and wife is one flesh; and so, my mother. Come, for England! (Exit.) King: Follow him at foot; tempt him with speed aboard; Delay it not; I’ll have him hence to-night: Away! for every thing is seal’d and done That else leans on the affair: pray you, make haste. (Exeunt Rosencrantz and Guildenstern.) And, England, if my love thou hold’st at aught— As my great power thereof may give thee sense, Since yet thy cicatrice looks raw and red After the Danish sword, and thy free awe Pays homage to us—thou mayst not coldly set Our sovereign process; which imports at full, By letters congruing to that effect, The present death of Hamlet. Do it, England; For like the hectic in my blood he rages, And thou must cure me: till I know ’tis done, Howe’er my haps, my joys were ne’er begun. (Exit.) Prince Fortinbras: Go, captain, from me greet the Danish king; Tell him that, by his license, Fortinbras Craves the conveyance of a promised march Over his kingdom. You know the rendezvous. If that his majesty would aught with us, We shall express our duty in his eye; And let him know so. Captain: I will do’t, my lord. Prince Fortinbras: Go softly on. (Exeunt Fortinbras and Soldiers.) Hamlet: Good sir, whose powers are these? Captain: They are of Norway, sir. Hamlet: How purposed, sir, I pray you? Captain: Against some part of Poland. Hamlet: Who commands them, sir? Captain: The nephews to old Norway, Fortinbras. Hamlet: Goes it against the main of Poland, sir, Or for some frontier? Captain: Truly to speak, and with no addition, We go to gain a little patch of ground That hath in it no profit but the name. To pay five ducats, five, I would not farm it; Nor will it yield to Norway or the Pole A ranker rate, should it be sold in fee. Hamlet: Why, then the Polack never will defend it. Captain: Yes, it is already garrison’d. Hamlet: Two thousand souls and twenty thousand ducats Will not debate the question of this straw: This is the imposthume of much wealth and peace, That inward breaks, and shows no cause without Why the man dies. I humbly thank you, sir. Captain: God be wi’ you, sir. (Exit.) Rosencrantz: Will’t please you go, my lord? Hamlet: I’ll be with you straight. Go a little before. (Exeunt all except Hamlet.) How all occasions do inform against me, And spur my dull revenge! What is a man, If his chief good and market of his time Be but to sleep and feed? a beast, no more. Sure, he that made us with such large discourse, Looking before and after, gave us not That capability and god-like reason To fust in us unused. Now, whether it be Bestial oblivion, or some craven scruple Of thinking too precisely on the event, A thought which, quarter’d, hath but one part wisdom And ever three parts coward, I do not know Why yet I live to say “This thing’s to do;” Sith I have cause and will and strength and means To do’t. Examples gross as earth exhort me: Witness this army of such mass and charge Led by a delicate and tender prince, Whose spirit with divine ambition puff’d Makes mouths at the invisible event, Exposing what is mortal and unsure To all that fortune, death and danger dare, Even for an egg-shell. Rightly to be great Is not to stir without great argument, But greatly to find quarrel in a straw When honour’s at the stake. How stand I then, That have a father kill’d, a mother stain’d, Excitements of my reason and my blood And let all sleep? while, to my shame, I see The imminent death of twenty thousand men, That, for a fantasy and trick of fame, Go to their graves like beds, fight for a plot Whereon the numbers cannot try the cause, Which is not tomb enough and continent To hide the slain? O, from this time forth, My thoughts be bloody, or be nothing worth! (Exit.) Queen: I will not speak with her. Gentleman: She is importunate, indeed distract: Her mood will needs be pitied. Queen: What would she have? Gentleman: She speaks much of her father; says she hears There’s tricks i’ the world; and hems, and beats her heart; Spurns enviously at straws; speaks things in doubt, That carry but half sense: her speech is nothing, Yet the unshaped use of it doth move The hearers to collection; they aim at it, And botch the words up fit to their own thoughts; Which, as her winks, and nods, and gestures yield them, Indeed would make one think there might be thought, Though nothing sure, yet much unhappily. Horatio: ’Twere good she were spoken with; for she may strew Dangerous conjectures in ill-breeding minds. Queen: Let her come in. (Exit Horatio.) To my sick soul, as sin’s true nature is, Each toy seems prologue to some great amiss: So full of artless jealousy is guilt, It spills itself in fearing to be spilt. Ophelia: Where is the beauteous majesty of Denmark? Queen: How now, Ophelia! Ophelia: (Sings.) How should I your true love know From another one? By his cockle hat and staff, And his sandal shoon. Queen: Alas, sweet lady, what imports this song? Ophelia: Say you? nay, pray you, mark. (Sings.) He is dead and gone, lady, He is dead and gone; At his head a grass-green turf, At his heels a stone. Queen: Nay, but, Ophelia— Ophelia: Pray you, mark. (Sings.) White his shroud as the mountain snow— Queen: Alas, look here, my lord. Ophelia: (Sings.) Larded with sweet flowers; Which bewept to the grave did go With true-love showers. King: How do you, pretty lady? Ophelia: Well, God ’ild you! They say the owl was a baker’s daughter. Lord, we know what we are, but know not what we may be. God be at your table! King: Conceit upon her father. Ophelia: Pray you, let’s have no words of this; but when they ask you what it means, say you this: (Sings.) To-morrow is Saint Valentine’s day, All in the morning betime, And I a maid at your window, To be your Valentine. Then up he rose, and donn’d his clothes, And dupp’d the chamber-door; Let in the maid, that out a maid Never departed more. King: Pretty Ophelia! Ophelia: Indeed, la, without an oath, I’ll make an end on’t: (Sings.) By Gis and by Saint Charity, Alack, and fie for shame! Young men will do’t, if they come to’t; By cock, they are to blame. Quoth she, before you tumbled me, You promised me to wed. So would I ha’ done, by yonder sun, An thou hadst not come to my bed. King: How long hath she been thus? Ophelia: I hope all will be well. We must be patient: but I cannot choose but weep, to think they should lay him i’ the cold ground. My brother shall know of it: and so I thank you for your good counsel. Come, my coach! Good night, ladies; good night, sweet ladies; good night, good night. (Exit.) King: Follow her close; give her good watch, I pray you. (Exit Horatio.) O, this is the poison of deep grief; it springs All from her father’s death. O Gertrude, Gertrude, When sorrows come, they come not single spies, But in battalions. First, her father slain: Next, your son gone; and he most violent author Of his own just remove: the people muddied, Thick and unwholesome in their thoughts and whispers, For good Polonius’ death; and we have done but greenly, In hugger-mugger to inter him: poor Ophelia Divided from herself and her fair judgment, Without the which we are pictures, or mere beasts: Last, and as much containing as all these, Her brother is in secret come from France; Feeds on his wonder, keeps himself in clouds, And wants not buzzers to infect his ear With pestilent speeches of his father’s death; Wherein necessity, of matter beggar’d, Will nothing stick our person to arraign In ear and ear. O my dear Gertrude, this, Like to a murdering-piece, in many places Gives me superfluous death. (A noise within.) Queen: Alack, what noise is this? King: Where are my Switzers? Let them guard the door. King: What is the matter? Gentleman: Save yourself, my lord: The ocean, overpeering of his list, Eats not the flats with more impetuous haste Than young Laertes, in a riotous head, O’erbears your officers. The rabble call him lord; And, as the world were now but to begin, Antiquity forgot, custom not known, The ratifiers and props of every word, They cry “Choose we: Laertes shall be king:” Caps, hands, and tongues, applaud it to the clouds: “Laertes shall be king, Laertes king!” Queen: How cheerfully on the false trail they cry! O, this is counter, you false Danish dogs! King: The doors are broke. (Noise within.) Laertes: Where is this king? Sirs, stand you all without. Danes: No, let’s come in. Laertes: I pray you, give me leave. Danes: We will, we will. (They retire without the door.) Laertes: I thank you: keep the door. O thou vile king, Give me my father! Queen: Calmly, good Laertes. Laertes: That drop of blood that’s calm proclaims me bastard, Cries cuckold to my father, brands the harlot Even here, between the chaste unsmirched brow Of my true mother. King: What is the cause, Laertes, That thy rebellion looks so giant-like? Let him go, Gertrude; do not fear our person: There’s such divinity doth hedge a king, That treason can but peep to what it would, Acts little of his will. Tell me, Laertes, Why thou art thus incensed. Let him go, Gertrude. Speak, man. Laertes: Where is my father? King: Dead. Queen: But not by him. King: Let him demand his fill. Laertes: How came he dead? I’ll not be juggled with: To hell, allegiance! vows, to the blackest devil! Conscience and grace, to the profoundest pit! I dare damnation. To this point I stand, That both the worlds I give to negligence, Let come what comes; only I’ll be revenged Most thoroughly for my father. King: Who shall stay you? Laertes: My will, not all the world: And for my means, I’ll husband them so well, They shall go far with little. King: Good Laertes, If you desire to know the certainty Of your dear father’s death, is’t writ in your revenge, That, swoopstake, you will draw both friend and foe, Winner and loser? Laertes: None but his enemies. King: Will you know them then? Laertes: To his good friends thus wide I’ll ope my arms; And like the kind life-rendering pelican, Repast them with my blood. King: Why, now you speak Like a good child and a true gentleman. That I am guiltless of your father’s death, And am most sensible in grief for it, It shall as level to your judgment pierce As day does to your eye. Danes: (Within.) Let her come in. Laertes: How now! what noise is that? Laertes: O heat, dry up my brains! tears seven times salt, Burn out the sense and virtue of mine eye! By heaven, thy madness shall be paid by weight, Till our scale turn the beam. O rose of May! Dear maid, kind sister, sweet Ophelia! O heavens! is’t possible, a young maid’s wits Should be as moral as an old man’s life? Nature is fine in love, and where ’tis fine, It sends some precious instance of itself After the thing it loves. Ophelia: (Sings.) They bore him barefaced on the bier; Hey non nonny, nonny, hey nonny; And in his grave rain’d many a tear:— Ophelia: Fare you well, my dove! Laertes: Hadst thou thy wits, and didst persuade revenge, It could not move thus. Ophelia: (Sings.) You must sing a-down a-down, An you call him a-down-a. Ophelia: O, how the wheel becomes it! It is the false steward, that stole his master’s daughter. Laertes: This nothing’s more than matter. Ophelia: There’s rosemary, that’s for remembrance; pray, love, remember: and there is pansies, that’s for thoughts. Laertes: A document in madness, thoughts and remembrance fitted. Ophelia: There’s fennel for you, and columbines: there’s rue for you; and here’s some for me: we may call it herb-grace o’ Sundays: O you must wear your rue with a difference. There’s a daisy: I would give you some violets, but they withered all when my father died: they say he made a good end—(Sings.) For bonny sweet Robin is all my joy. Laertes: Thought and affliction, passion, hell itself, She turns to favour and to prettiness. Ophelia: (Sings.) And will he not come again? And will he not come again? No, no, he is dead: Go to thy death-bed: He never will come again. Ophelia: His beard was as white as snow, All flaxen was his poll: He is gone, he is gone, And we cast away moan: God ha’ mercy on his soul! Ophelia: And of all Christian souls, I pray God. God be wi’ ye. (Exit.) Laertes: Do you see this, O God? King: Laertes, I must commune with your grief, Or you deny me right. Go but apart, Make choice of whom your wisest friends you will, And they shall hear and judge ’twixt you and me: If by direct or by collateral hand They find us touch’d, we will our kingdom give, Our crown, our life, and all that we can ours, To you in satisfaction; but if not, Be you content to lend your patience to us, And we shall jointly labour with your soul To give it due content. Laertes: Let this be so; His means of death, his obscure funeral— No trophy, sword, nor hatchment o’er his bones, No noble rite nor formal ostentation— Cry to be heard, as ’twere from heaven to earth, That I must call’t in question. King: So you shall; And where the offence is let the great axe fall. I pray you, go with me. (Exeunt.) Horatio: What are they that would speak with me? Servant: Sailors, sir: they say they have letters for you. Horatio: Let them come in. (Exit Servant.) I do not know from what part of the world I should be greeted, if not from Lord Hamlet. First Sailor: God bless you, sir. Horatio: Let him bless thee too. First Sailor: He shall, sir, an’t please him. There’s a letter for you, sir; it comes from the ambassador that was bound for England; if your name be Horatio, as I am let to know it is. Horatio: (Reads.) “Horatio, when thou shalt have overlooked this, give these fellows some means to the king: they have letters for him. Ere we were two days old at sea, a pirate of very warlike appointment gave us chase. Finding ourselves too slow of sail, we put on a compelled valour, and in the grapple I boarded them: on the instant they got clear of our ship; so I alone became their prisoner. They have dealt with me like thieves of mercy: but they knew what they did; I am to do a good turn for them. Let the king have the letters I have sent; and repair thou to me with as much speed as thou wouldst fly death. I have words to speak in thine ear will make thee dumb; yet are they much too light for the bore of the matter. These good fellows will bring thee where I am. Rosencrantz and Guildenstern hold their course for England: of them I have much to tell thee. Farewell. “He that thou knowest thine, Hamlet.” Horatio: Come, I will make you way for these your letters; And do’t the speedier, that you may direct me To him from whom you brought them. (Exeunt.)	It’s now the witching hour, when graveyards open and hell spreads disease into the world. Now I could drink hot blood and do terrible things that would shock even the daylight. Wait! I need to see my mother. Oh, heart, don’t lose control. Don’t let the evil of Nero enter me. Let me be cruel, but not monstrous. I'll use sharp words with her, but no weapons. Let my words and intentions be a lie. No matter how much she’s scolded by my words, don't let my soul agree to do more.

(Hamlet exits)

King: I don't trust him, and it's not safe for us to let his madness continue unchecked. Get ready, I’ll immediately send your orders, and he’ll go to England with you. Our kingdom can't risk the growing danger caused by his insanity.

Guildenstern: We’ll prepare ourselves. It’s a sacred duty to protect the many people who depend on Your Majesty.

Rosencrantz: Even an ordinary person must use all their mental strength to protect themselves from harm, but much more so for the leader on whose well-being so many lives depend. When a king dies, it’s not just one person, but like a whirlpool, it pulls everything nearby down with it. It’s like a massive wheel fixed at the top of a mountain, with thousands of smaller parts connected to its spokes. When it falls, every small attachment is destroyed in the violent collapse. A king never sighs alone; the whole country groans with him.

King: Please prepare yourselves for this quick trip, because we need to chain up this fear that now runs too freely.

Rosencrantz: We will hurry.
Guildenstern: We will hurry.

(Rosencrantz and Guildenstern exit)

Polonius: My lord, he’s going to his mother’s room. I’ll hide behind the tapestry to hear what they say. I guarantee she’ll confront him strongly. And as you said, and wisely so, it’s right that someone other than just his mother should overhear their conversation, since mothers are naturally biased. Farewell, my lord. I’ll visit you before you go to bed and tell you what I learn.

King: Thank you, dear Polonius.

(Polonius exits)

